datetime,symbol,open,high,low,close,MA12,MA26,RSI14,ATR14,EMA12,EMA26,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,high_open_dist,open_low_dist,body_size,upper_wick,lower_wick,body_ratio,wick_ratio_upper,wick_ratio_lower,candle_type,candle_type_name,prev_candle_1,prev_candle_2,prev_candle_3
3/17/2016,OANDA:XAUUSD,1262.3405,1271.057,1254.5985,1258.028,1254.752833,1238.814192,59.2729774,24.69952902,1249.030607,1229.856375,19.17423181,23.24328969,-4.069057878,1271.550044,1247.7221,1223.894156,8.7165,7.742,4.3125,8.7165,3.4295,0.262022663,0.529604763,0.208372573,7,Long Wick Bearish,2,7,5
3/18/2016,OANDA:XAUUSD,1258.028,1267.0265,1247.854,1255.2935,1256.028708,1239.140942,58.27921023,24.30474123,1249.994129,1231.740607,18.25352232,22.24533621,-3.991813895,1273.290079,1248.7099,1224.129721,8.9985,10.174,2.7345,8.9985,7.4395,0.142626157,0.469344113,0.38802973,7,Long Wick Bearish,7,2,7
3/21/2016,OANDA:XAUUSD,1255.2935,1256.144,1240.7405,1243.6605,1254.269292,1239.360538,54.1220157,23.66893828,1249.019725,1232.623562,16.39616278,21.07550153,-4.679338749,1272.017214,1250.4007,1228.784186,0.8505,14.553,11.633,0.8505,2.92,0.75521797,0.055214724,0.189567306,3,Full Body Bearish,7,7,2
3/22/2016,OANDA:XAUUSD,1243.6605,1260.3555,1242.5025,1248.2735,1253.352333,1240.856385,55.47825182,23.25351412,1248.904921,1233.782817,15.1221043,19.88482208,-4.76271778,1266.965511,1253.5192,1240.072889,16.695,1.158,4.613,12.082,1.158,0.258387946,0.676749006,0.064863048,6,Long Wick Bullish,3,7,7
3/23/2016,OANDA:XAUUSD,1248.2735,1249.5335,1215.4055,1220.4375,1249.436583,1241.638923,46.53805181,24.03026311,1244.525318,1232.794275,11.73104305,18.25406628,-6.523023223,1271.843137,1245.1386,1218.434063,1.26,32.868,27.836,1.26,5.032,0.815635256,0.036919831,0.147444913,3,Full Body Bearish,6,3,7
3/24/2016,OANDA:XAUUSD,1220.4375,1223.9015,1211.108,1217.3005,1245.74525,1241.976096,45.64533595,23.22763718,1240.336884,1231.646588,8.69029657,16.34131233,-7.651015765,1267.567503,1236.9931,1206.418697,3.464,9.3295,3.137,3.464,6.1925,0.245202642,0.270762497,0.484034861,7,Long Wick Bearish,3,6,3
3/28/2016,OANDA:XAUUSD,1217.3005,1223.1955,1207.873,1221.351,1243.100292,1241.602385,47.05750996,22.66298452,1237.415979,1230.883952,6.532027427,14.37945535,-7.847427926,1256.248327,1230.2046,1204.160873,5.895,9.4275,4.0505,1.8445,9.4275,0.264349812,0.120378528,0.615271659,6,Long Wick Bullish,7,3,6
3/29/2016,OANDA:XAUUSD,1221.351,1243.161,1215.3895,1242.3835,1240.609208,1242.219981,53.77349073,23.02787848,1238.180213,1231.73577,6.444443029,12.79245289,-6.34800986,1255.480089,1229.9492,1204.418311,21.81,5.9615,21.0325,0.7775,5.9615,0.757341159,0.027996327,0.214662514,2,Full Body Bullish,6,7,3
3/30/2016,OANDA:XAUUSD,1242.3835,1244.432,1223.3615,1224.9465,1238.491875,1242.836846,48.30279122,22.88806573,1236.144257,1231.232861,4.911396072,11.21624153,-6.304845453,1243.064692,1225.2838,1207.502908,2.0485,19.022,17.437,2.0485,1.585,0.827555113,0.097221233,0.075223654,3,Full Body Bearish,2,6,7
3/31/2016,OANDA:XAUUSD,1224.9465,1240.6005,1223.7755,1232.945,1238.303417,1243.060846,50.77660856,22.45498961,1235.652064,1231.359686,4.292377561,9.831468732,-5.539091171,1245.654155,1227.7853,1209.916445,15.654,1.171,7.9985,7.6555,1.171,0.475393759,0.455007429,0.069598811,6,Long Wick Bullish,3,2,6
4/1/2016,OANDA:XAUUSD,1232.945,1235.4845,1209.0145,1222.3655,1237.443792,1242.804962,47.53643398,22.74177607,1233.607977,1230.69345,2.914526847,8.448080355,-5.533553508,1244.633257,1228.7983,1212.963343,2.5395,23.9305,10.5795,2.5395,13.351,0.399678882,0.095938799,0.50438232,7,Long Wick Bearish,6,3,2
4/4/2016,OANDA:XAUUSD,1222.3655,1222.7405,1214.7315,1215.4245,1233.534125,1242.1225,45.48564641,21.68943492,1230.810519,1229.562417,1.248102192,7.008084723,-5.759982531,1246.156007,1227.613,1209.069993,0.375,7.634,6.941,0.375,0.693,0.866650019,0.046822325,0.086527656,3,Full Body Bearish,7,6,3
4/5/2016,OANDA:XAUUSD,1215.4245,1237.0785,1214.9345,1231.3475,1231.31075,1242.443673,50.73624833,21.72190385,1230.893131,1229.694645,1.198486269,5.846165032,-4.647678763,1238.09356,1225.4058,1212.71804,21.654,0.49,15.923,5.731,0.49,0.719066113,0.258805997,0.02212789,2,Full Body Bullish,3,7,6
4/6/2016,OANDA:XAUUSD,1231.3475,1232.3085,1216.6775,1222.325,1228.563375,1241.817538,47.91981155,21.28683929,1229.574957,1229.148746,0.426211842,4.762174394,-4.335962552,1237.816104,1224.8815,1211.946896,0.961,14.67,9.0225,0.961,5.6475,0.577218348,0.061480392,0.36130126,5,Normal Candle Bearish,2,3,7
4/7/2016,OANDA:XAUUSD,1222.325,1243.351,1222.325,1240.512,1228.301,1242.138462,53.5207365,21.26820791,1231.257579,1229.990468,1.267111231,4.063161761,-2.796050531,1243.760857,1226.3949,1209.028943,21.026,0,18.187,2.839,0,0.864976696,0.135023304,0,2,Full Body Bullish,5,2,3
